"filename", "language", "YAML", "Markdown", "Python", "HTML", "MS SQL", "Docker", "pip requirements", "Properties", "Ini", "comment", "blank", "total"
"/home/meman-s/Загрузки/rumicon/hards/.flake8", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"/home/meman-s/Загрузки/rumicon/hards/README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 12, 35
"/home/meman-s/Загрузки/rumicon/hards/backend/API_documentation_OpenAPI_Swagger.md", "Markdown", 0, 713, 0, 0, 0, 0, 0, 0, 0, 0, 190, 903
"/home/meman-s/Загрузки/rumicon/hards/backend/API_versioning.md", "Markdown", 0, 507, 0, 0, 0, 0, 0, 0, 0, 0, 148, 655
"/home/meman-s/Загрузки/rumicon/hards/backend/Authentication_authorization_JWT_OAuth2_Session.md", "Markdown", 0, 808, 0, 0, 0, 0, 0, 0, 0, 0, 232, 1040
"/home/meman-s/Загрузки/rumicon/hards/backend/Caching_Redis_inmemory_lru_cache.md", "Markdown", 0, 527, 0, 0, 0, 0, 0, 0, 0, 0, 176, 703
"/home/meman-s/Загрузки/rumicon/hards/backend/FastAPI_dependency_injection_middleware_background_tasks.md", "Markdown", 0, 574, 0, 0, 0, 0, 0, 0, 0, 0, 181, 755
"/home/meman-s/Загрузки/rumicon/hards/backend/File_handling_upload_storage_processing.md", "Markdown", 0, 318, 0, 0, 0, 0, 0, 0, 0, 0, 113, 431
"/home/meman-s/Загрузки/rumicon/hards/backend/Pydantic_validation_serialization.md", "Markdown", 0, 395, 0, 0, 0, 0, 0, 0, 0, 0, 149, 544
"/home/meman-s/Загрузки/rumicon/hards/backend/RPC_vs_REST.md", "Markdown", 0, 179, 0, 0, 0, 0, 0, 0, 0, 0, 63, 242
"/home/meman-s/Загрузки/rumicon/hards/backend/SQLAlchemy_Alembic_ORM_migrations.md", "Markdown", 0, 424, 0, 0, 0, 0, 0, 0, 0, 0, 165, 589
"/home/meman-s/Загрузки/rumicon/hards/backend/Security_CORS_CSRF_XSS_SQL_injection_Rate_limiting.md", "Markdown", 0, 555, 0, 0, 0, 0, 0, 0, 0, 0, 178, 733
